date,ret,n,universe,turnover,regime,rebal,gross,top5
2021-05-31,0.08736209910335414,15,0,0.0,ON,False,0.08736209910335414,"GVR, POW, VNM, FPT, PLX"
2021-06-30,0.07691880551703807,15,24,0.667,ON,True,0.07891880551703807,"HPG, BSR, THD, NKG, PLX"
2021-07-31,-0.04904275514310273,15,0,0.0,ON,False,-0.04904275514310273,"HPG, BSR, THD, NKG, PLX"
2021-08-31,0.0798460289066948,15,0,0.0,ON,False,0.0798460289066948,"HPG, BSR, THD, NKG, PLX"
2021-09-30,0.03784502014041622,15,30,0.667,ON,True,0.03984502014041622,"HPG, BSR, GVR, NKG, DPM"
2021-10-31,0.12385335868391943,15,0,0.0,ON,False,0.12385335868391943,"HPG, BSR, GVR, NKG, DPM"
2021-11-30,-0.005968823758223045,15,0,0.0,ON,False,-0.005968823758223045,"HPG, BSR, GVR, NKG, DPM"
2021-12-31,-0.013455266984271425,15,27,0.667,ON,True,-0.011455266984271425,"NKG, HPG, DPM, VNM, GAS"
2022-01-31,-0.09333783467714027,15,0,0.0,ON,False,-0.09333783467714027,"NKG, HPG, DPM, VNM, GAS"
2022-02-28,0.17970649227684,15,0,0.0,ON,False,0.17970649227684,"NKG, HPG, DPM, VNM, GAS"
2022-03-31,0.01987126426103185,15,32,0.667,ON,True,0.021871264261031847,"VOS, HPG, DPG, THD, VNM"
2022-04-30,0.0,0,0,0.0,OFF,False,,
2022-05-31,0.0,0,0,0.0,OFF,False,,
2022-06-30,0.0,0,0,0.0,OFF,False,,
2022-07-31,0.0,0,0,0.0,OFF,False,,
2022-08-31,0.0,0,0,0.0,OFF,False,,
2022-09-30,0.0,0,0,0.0,OFF,False,,
2022-10-31,0.0,0,0,0.0,OFF,False,,
2022-11-30,0.0,0,0,0.0,OFF,False,,
2022-12-31,0.0,0,0,0.0,OFF,False,,
2023-01-31,0.0,0,0,0.0,OFF,False,,
2023-02-28,0.0,0,0,0.0,OFF,False,,
2023-03-31,0.0,0,0,0.0,OFF,False,,
2023-04-30,0.0,0,0,0.0,OFF,False,,
2023-05-31,0.0,0,0,0.0,OFF,False,,
2023-06-30,0.03665842644079902,7,7,1.0,ON,True,0.039658426440799026,"PNJ, PVD, VNM, HAG, PVT"
2023-07-31,0.07712395215426529,7,0,0.0,ON,False,0.07712395215426529,"PNJ, PVD, VNM, HAG, PVT"
2023-08-31,-0.0014507279891500411,7,0,0.0,ON,False,-0.0014507279891500411,"PNJ, PVD, VNM, HAG, PVT"
2023-09-30,-0.013025331650346441,12,12,1.333,ON,True,-0.009025331650346441,"FPT, VNM, GMD, GEX, PVD"
2023-10-31,0.0,0,0,0.0,OFF,False,,
2023-11-30,0.0,0,0,0.0,OFF,False,,
2023-12-31,0.0545718338855464,12,12,1.0,ON,True,0.0575718338855464,"BSR, VNM, FPT, PVD, HPG"
2024-01-31,-0.002919002430054848,12,0,0.0,ON,False,-0.002919002430054848,"BSR, VNM, FPT, PVD, HPG"
2024-02-29,0.04084584837054237,12,0,0.0,ON,False,0.04084584837054237,"BSR, VNM, FPT, PVD, HPG"
2024-03-31,0.03429102389657097,15,21,0.667,ON,True,0.03629102389657097,"BSR, VNM, PLX, FPT, CTD"
2024-04-30,-0.07983821414135005,15,18,0.667,ON,True,-0.07783821414135005,"HPG, GAS, VNM, LCG, HAG"
2024-05-31,0.10665254613447736,15,0,0.0,ON,False,0.10665254613447736,"HPG, GAS, VNM, LCG, HAG"
2024-06-30,-0.03853834037967274,15,33,1.2,ON,True,-0.03493834037967274,"MWG, HPG, SAB, BAF, BCG"
2024-07-31,-0.022526435877631347,15,0,0.0,ON,False,-0.022526435877631347,"MWG, HPG, SAB, BAF, BCG"
2024-08-31,0.018667950663787906,15,0,0.0,ON,False,0.018667950663787906,"MWG, HPG, SAB, BAF, BCG"
