ticker,entry_date,sector,sector_neutral_ret,q0_np_yoy,q0_roe,q0_accel,q0_rev_yoy,q1_np_yoy,q1_accel,outcome
APG,2025-04-11,Financial Services,-0.2244,-2.2866,-2.1383,1,-0.8577,0.4104,2,Loser
FPT,2025-04-11,Technology,-0.2384,0.2075,5.8306,1,0.1986,0.2093,2,Loser
VTO,2025-04-11,Industrial Goods & Services,-0.2771,-0.2128,2.815,0,0.0092,-0.2982,0,Loser
NHA,2025-04-11,Construction & Materials,-0.2851,0.9519,1.954,0,0.4731,1.8886,1,Loser
AGG,2025-04-11,Real Estate,-0.3103,0.1675,1.5128,2,-0.0757,-0.9487,1,Loser
LHG,2025-04-11,Real Estate,-0.3239,-0.2726,2.7019,0,-0.3476,2.4999,1,Loser
DPG,2025-04-11,Construction & Materials,-0.3445,0.0773,3.6998,1,0.0161,0.245,2,Loser
BCM,2025-04-11,Real Estate,-0.3473,-0.3321,6.6884,0,-0.6047,2.0332,1,Loser
ASM,2025-04-11,Real Estate,-0.355,-1.8575,-0.1656,0,0.0278,-0.0707,1,Loser
DC4,2025-04-11,Construction & Materials,-0.3821,-0.7477,3.1303,0,-0.3662,7.9251,1,Loser
PTB,2025-04-11,Construction & Materials,-0.4487,0.7725,3.0232,1,0.251,0.2672,1,Loser
SAB,2025-04-11,Food & Beverage,-0.5099,0.0199,3.9508,0,0.0484,-0.2047,0,Loser
D2D,2025-04-11,Real Estate,-0.541,2.8719,12.175,2,1.2459,7.5268,2,Loser
SIP,2025-04-11,Real Estate,-0.6103,-0.0651,6.513,1,0.0798,0.4285,1,Loser
HSL,2025-05-16,Food & Beverage,1.3724,-0.8343,0.2052,0,-0.9242,0.4858,1,Winner
LDG,2025-05-16,Real Estate,0.9592,-0.8455,-19.6996,1,1.0363,1.0983,1,Winner
GEX,2025-05-16,Industrial Goods & Services,0.4676,29.561,2.4434,1,0.2514,1.1533,1,Winner
CDC,2025-05-16,Construction & Materials,0.4262,1.1303,5.6427,1,0.0733,-0.9735,1,Winner
ORS,2025-05-16,Financial Services,0.4032,0.2028,1.8101,1,-0.1283,-1.0954,0,Winner
DHA,2025-05-16,Construction & Materials,0.3197,-0.5732,1.8088,1,-0.3578,1.7768,1,Winner
KHG,2025-05-16,Real Estate,0.2497,0.7591,0.2499,2,2.6294,0.1858,1,Winner
DXS,2025-05-16,Real Estate,0.2099,1.3198,0.4377,1,0.1671,0.2834,0,Winner
MWG,2025-05-16,Retail,0.1733,8.3843,3.0119,0,0.1003,0.7131,0,Winner
DLG,2025-05-16,Personal & Household Goods,0.172,1.7287,14.6888,1,-0.3681,0.0257,0,Winner
CTG,2025-05-16,Banks,0.1183,0.6067,,2,,0.0993,1,Winner
PDR,2025-05-16,Real Estate,0.0681,0.3065,3.2314,2,26.0875,-0.0376,1,Winner
DIG,2025-05-16,Real Estate,0.0583,0.3378,1.0996,1,0.0269,0.9139,2,Winner
PNJ,2025-05-16,Retail,0.0545,0.1591,6.5073,1,-0.1208,-0.0814,1,Winner
DCM,2025-05-16,Chemicals,0.0316,-0.4277,2.7899,0,0.1818,0.1891,1,Winner
NTL,2025-05-16,Real Estate,-0.005,-1.1321,-2.7477,0,-0.9715,0.2038,1,Loser
TCM,2025-05-16,Personal & Household Goods,-0.0546,1.8051,2.6818,1,0.1355,0.2595,1,Loser
KDH,2025-05-16,Real Estate,-0.0601,5.393,2.0437,1,3.3613,0.9246,1,Loser
NLG,2025-05-16,Real Estate,-0.0746,0.714,3.4101,1,2.8928,2.41,2,Loser
BCM,2025-05-16,Real Estate,-0.0777,-0.3321,6.6884,0,-0.6047,2.0332,1,Loser
DXG,2025-05-16,Real Estate,-0.0897,2.3458,1.0369,2,0.0924,0.5458,1,Loser
HPX,2025-05-16,Real Estate,-0.1067,-0.9381,0.1205,1,0.0586,-0.1417,1,Loser
NVL,2025-05-16,Real Estate,-0.1225,-2.4013,-4.836,1,1.3566,0.2181,1,Loser
VTO,2025-05-16,Industrial Goods & Services,-0.1539,-0.2128,2.815,0,0.0092,-0.2982,0,Loser
KOS,2025-05-16,Real Estate,-0.177,-0.6331,0.073,1,0.1888,-0.0921,1,Loser
MBB,2025-05-16,Banks,-0.1801,0.2649,,1,,0.4435,2,Loser
VGC,2025-05-16,Real Estate,-0.1816,28.2792,5.39,2,0.2342,0.556,1,Loser
HPG,2025-05-16,Basic Resources,-0.1837,-0.0558,2.4482,0,0.0031,0.165,1,Loser
LHG,2025-05-16,Real Estate,-0.184,-0.2726,2.7019,0,-0.3476,2.4999,1,Loser
AGG,2025-05-16,Real Estate,-0.2145,0.1675,1.5128,2,-0.0757,-0.9487,1,Loser
PTB,2025-05-16,Construction & Materials,-0.2338,0.7725,3.0232,1,0.251,0.2672,1,Loser
APG,2025-05-16,Financial Services,-0.235,-2.2866,-2.1383,1,-0.8577,0.4104,2,Loser
NHA,2025-05-16,Construction & Materials,-0.244,0.9519,1.954,0,0.4731,1.8886,1,Loser
DC4,2025-05-16,Construction & Materials,-0.3172,-0.7477,3.1303,0,-0.3662,7.9251,1,Loser
SIP,2025-05-16,Real Estate,-0.3824,-0.0651,6.513,1,0.0798,0.4285,1,Loser
D2D,2025-05-16,Real Estate,-0.427,2.8719,12.175,2,1.2459,7.5268,2,Loser
VHM,2025-06-16,Real Estate,0.4635,2.0394,1.2037,1,0.9118,-0.3106,0,Winner
VIC,2025-06-16,Real Estate,0.4392,-0.1204,4.4323,1,2.8666,0.7326,1,Winner
CDC,2025-06-16,Construction & Materials,0.359,-0.9735,0.0055,1,0.2,0.1778,1,Winner
ORS,2025-06-16,Financial Services,0.3126,-1.0954,-0.1831,0,-0.0682,-2.0491,0,Winner
KBC,2025-06-16,Real Estate,0.2839,10.1334,3.6415,1,19.4608,0.681,1,Winner
DLG,2025-06-16,Personal & Household Goods,0.1773,0.0257,3.5804,0,-0.4253,-0.1402,0,Winner
CTS,2025-06-16,Financial Services,0.1732,0.0667,4.4926,1,0.4355,7.4135,1,Winner
TLG,2025-06-16,Personal & Household Goods,0.1166,-0.1069,3.2532,0,-0.0176,-0.081,1,Winner
DHA,2025-06-16,Construction & Materials,0.0605,1.7768,5.6745,1,-0.0736,0.6914,1,Winner
DXS,2025-06-16,Real Estate,0.0551,0.2834,0.4791,0,-0.0407,4.6818,1,Winner
ELC,2025-06-16,Technology,0.0384,-0.3399,0.3814,1,-0.4284,2.51,1,Winner
TTA,2025-06-16,Utilities,0.0163,0.2097,1.9311,1,0.0289,0.0571,0,Winner
DCM,2025-06-16,Chemicals,0.0038,0.1891,3.8942,1,0.2415,0.345,2,Winner
TCB,2025-06-16,Banks,-0.031,-0.042,,1,,0.0124,2,Loser
SHI,2025-06-16,Personal & Household Goods,-0.0424,13.4076,0.7142,1,0.0183,5.4355,1,Loser
D2D,2025-06-16,Real Estate,-0.0643,7.5268,1.1003,2,2.572,33.3336,2,Loser
TCM,2025-06-16,Personal & Household Goods,-0.0839,0.2595,3.4055,1,0.0822,0.1328,0,Loser
MSH,2025-06-16,Personal & Household Goods,-0.0985,0.6143,3.9405,0,0.3449,0.8235,1,Loser
MBB,2025-06-16,Banks,-0.1031,0.4435,,2,,-0.0159,1,Loser
VIB,2025-06-16,Banks,-0.1079,-0.0323,,1,,0.2338,1,Loser
KOS,2025-06-16,Real Estate,-0.1124,-0.0921,0.1124,1,-0.0447,-0.5752,1,Loser
NVL,2025-06-16,Real Estate,-0.1173,0.2181,-0.9075,1,1.5504,0.9808,2,Loser
NTL,2025-06-16,Real Estate,-0.12,0.2038,0.3601,1,-0.9054,-0.9978,1,Loser
AGR,2025-06-16,Financial Services,-0.1231,-0.0846,1.3209,1,0.1248,-0.5324,0,Loser
VTO,2025-06-16,Industrial Goods & Services,-0.1552,-0.2982,1.6212,0,0.0627,0.0427,1,Loser
EIB,2025-06-16,Banks,-0.1614,0.2489,,0,,-0.2125,0,Loser
LHG,2025-06-16,Real Estate,-0.1739,2.4999,6.2088,1,2.0659,0.3727,1,Loser
NLG,2025-06-16,Real Estate,-0.174,2.41,0.7463,2,5.3093,-0.3136,1,Loser
SZC,2025-06-16,Real Estate,-0.1861,0.9415,3.9094,2,0.9382,-0.0714,1,Loser
AGG,2025-06-16,Real Estate,-0.1952,-0.9487,0.3265,1,-0.8539,2.1659,1,Loser
PC1,2025-06-16,Construction & Materials,-0.2415,-0.3137,0.7098,0,-0.1406,-0.1074,1,Loser
APG,2025-06-16,Financial Services,-0.2897,0.4104,0.3658,2,-0.1798,-1.1569,1,Loser
IJC,2025-06-16,Construction & Materials,-0.3002,0.159,0.8747,1,-0.0772,0.3258,1,Loser
NHA,2025-06-16,Construction & Materials,-0.3859,1.8886,6.1969,1,1.808,-0.498,1,Loser
DC4,2025-06-16,Construction & Materials,-0.4583,7.9251,3.6693,1,1.6044,-0.2742,1,Loser
HID,2025-07-14,Construction & Materials,0.8946,-0.9766,0.0445,1,1.7962,-0.366,1,Winner
CDC,2025-07-14,Construction & Materials,0.5237,-0.9735,0.0055,1,0.2,0.1778,1,Winner
ORS,2025-07-14,Financial Services,0.2766,-1.0954,-0.1831,0,-0.0682,-2.0491,0,Winner
NT2,2025-07-14,Utilities,0.2582,1.2337,0.9251,1,4.4474,1.6701,2,Winner
GAS,2025-07-14,Utilities,0.2299,0.0975,4.2852,1,0.1012,0.4296,2,Winner
SBG,2025-07-14,Industrial Goods & Services,0.208,2.48,1.5774,1,-0.2329,-0.2433,0,Winner
ELC,2025-07-14,Technology,0.1842,-0.3399,0.3814,1,-0.4284,2.51,1,Winner
DHC,2025-07-14,Basic Resources,0.1419,0.3614,3.6434,1,0.0188,0.3737,2,Winner
TTF,2025-07-14,Personal & Household Goods,0.1228,-0.0756,0.9554,2,-0.4474,1.1938,2,Winner
BMP,2025-07-14,Construction & Materials,0.0822,0.511,9.6001,1,0.3792,0.177,1,Winner
DLG,2025-07-14,Personal & Household Goods,0.073,0.0257,3.5804,0,-0.4253,-0.1402,0,Winner
DPR,2025-07-14,Chemicals,0.0525,0.2521,1.973,1,0.086,-0.2793,0,Winner
ANV,2025-07-14,Food & Beverage,0.0484,6.8103,4.5077,0,0.0888,146.5117,1,Winner
KOS,2025-07-14,Real Estate,0.0316,-0.0921,0.1124,1,-0.0447,-0.5752,1,Winner
TTA,2025-07-14,Utilities,0.0206,0.2097,1.9311,1,0.0289,0.0571,0,Winner
HPX,2025-07-14,Real Estate,0.0201,-0.1417,0.3964,1,-0.6951,0.1395,2,Winner
D2D,2025-07-14,Real Estate,0.0162,7.5268,1.1003,2,2.572,33.3336,2,Winner
SSI,2025-07-14,Financial Services,0.0112,0.1043,3.0465,1,0.0945,0.1426,2,Winner
NTL,2025-07-14,Real Estate,-0.0213,0.2038,0.3601,1,-0.9054,-0.9978,1,Loser
BID,2025-07-14,Banks,-0.0292,0.0067,,1,,0.0567,1,Loser
TCM,2025-07-14,Personal & Household Goods,-0.0453,0.2595,3.4055,1,0.0822,0.1328,0,Loser
CMG,2025-07-14,Technology,-0.047,0.4542,2.1745,2,0.1499,0.1313,1,Loser
MBB,2025-07-14,Banks,-0.0781,0.4435,,2,,-0.0159,1,Loser
LHG,2025-07-14,Real Estate,-0.1052,2.4999,6.2088,1,2.0659,0.3727,1,Loser
VIB,2025-07-14,Banks,-0.1091,-0.0323,,1,,0.2338,1,Loser
PVP,2025-07-14,Industrial Goods & Services,-0.1212,-0.1289,2.1337,1,0.1286,-0.2387,0,Loser
IDI,2025-07-14,Food & Beverage,-0.1311,0.9257,0.7493,2,-0.0826,0.8036,1,Loser
VTO,2025-07-14,Industrial Goods & Services,-0.1313,-0.2982,1.6212,0,0.0627,0.0427,1,Loser
PAC,2025-07-14,Industrial Goods & Services,-0.1333,0.0469,2.9225,1,0.0838,0.1431,2,Loser
VNE,2025-07-14,Construction & Materials,-0.1645,-9.6155,-3.1279,2,-0.599,0.0573,2,Loser
NLG,2025-07-14,Real Estate,-0.1725,2.41,0.7463,2,5.3093,-0.3136,1,Loser
CTG,2025-07-14,Banks,-0.1787,0.0993,,1,,0.8028,1,Loser
SZC,2025-07-14,Real Estate,-0.1835,0.9415,3.9094,2,0.9382,-0.0714,1,Loser
HQC,2025-07-14,Real Estate,-0.1866,-0.0168,0.0955,0,2.654,-0.5874,0,Loser
VTP,2025-07-14,Industrial Goods & Services,-0.242,0.1862,4.2248,1,0.0786,0.1141,0,Loser
HID,2025-08-11,Construction & Materials,0.8818,-0.9766,0.0445,1,1.7962,-0.366,1,Winner
GAS,2025-08-11,Utilities,0.6307,0.0975,4.2852,1,0.1012,0.4296,2,Winner
BID,2025-08-11,Banks,0.4161,0.0067,,1,,0.0567,1,Winner
HHP,2025-08-11,Basic Resources,0.3299,1.1475,1.0635,1,0.5928,1.1725,1,Winner
GMD,2025-08-11,Industrial Goods & Services,0.3014,-0.2796,2.8577,1,0.2699,0.3478,1,Winner
DHA,2025-08-11,Construction & Materials,0.2246,1.7768,5.6745,1,-0.0736,0.6914,1,Winner
KBC,2025-08-11,Real Estate,0.2244,10.1334,3.6415,1,19.4608,0.681,1,Winner
DHC,2025-08-11,Basic Resources,0.1821,0.3614,3.6434,1,0.0188,0.3737,2,Winner
NT2,2025-08-11,Utilities,0.182,1.2337,0.9251,1,4.4474,1.6701,2,Winner
KOS,2025-08-11,Real Estate,0.1763,-0.0921,0.1124,1,-0.0447,-0.5752,1,Winner
VNM,2025-08-11,Food & Beverage,0.1717,-0.2853,4.169,0,-0.0835,-0.0734,1,Winner
HPX,2025-08-11,Real Estate,0.1086,-0.1417,0.3964,1,-0.6951,0.1395,2,Winner
D2D,2025-08-11,Real Estate,0.0772,7.5268,1.1003,2,2.572,33.3336,2,Winner
HAG,2025-08-11,Food & Beverage,0.0756,0.5855,3.4968,1,0.1119,0.8765,2,Winner
HVH,2025-08-11,Personal & Household Goods,0.0429,-0.3612,1.0469,0,-0.2837,0.1197,1,Winner
PTB,2025-08-11,Construction & Materials,0.0411,0.2672,3.6706,1,0.1275,0.128,0,Winner
DPR,2025-08-11,Chemicals,0.0152,0.2521,1.973,1,0.086,-0.2793,0,Winner
TTF,2025-08-11,Personal & Household Goods,-0.006,-0.0756,0.9554,2,-0.4474,1.1938,2,Loser
SSI,2025-08-11,Financial Services,-0.0202,0.1043,3.0465,1,0.0945,0.1426,2,Loser
TCB,2025-08-11,Banks,-0.0249,-0.042,,1,,0.0124,2,Loser
NAB,2025-08-11,Banks,-0.0421,0.2229,,1,,0.0648,1,Loser
CMG,2025-08-11,Technology,-0.0522,0.4542,2.1745,2,0.1499,0.1313,1,Loser
TCM,2025-08-11,Personal & Household Goods,-0.0673,0.2595,3.4055,1,0.0822,0.1328,0,Loser
HT1,2025-08-11,Construction & Materials,-0.08,0.6283,-0.1886,1,0.0617,1.4505,2,Loser
VIB,2025-08-11,Banks,-0.0924,-0.0323,,1,,0.2338,1,Loser
