date,time,symbol,price,volume,value,cum_volume,cum_value,floor
2026-03-12,13:01:07,SCR,5.35,1,5.35,22,117.69999999999999,HOSE
2026-03-12,13:01:07,SCR,5.35,1,5.35,23,123.05,HOSE
2026-03-12,13:01:07,SCR,5.35,1,5.35,24,128.39999999999998,HOSE
2026-03-12,13:01:07,SCR,5.35,1,5.35,25,133.75,HOSE
2026-03-12,13:01:07,AAA,6.64,1,6.64,19,126.16,HOSE
2026-03-12,13:01:07,PPC,9.3,1,9.3,11,102.30000000000001,HOSE
2026-03-12,13:01:07,LSS,7.96,1,7.96,5,39.8,HOSE
2026-03-12,13:01:08,SCR,5.35,1,5.35,26,139.1,HOSE
2026-03-12,13:01:23,PDR,14.25,350000,4987500.0,5150000,73387500.0,HOSE
2026-03-12,13:01:34,SCR,5.35,1,5.35,27,144.45,HOSE
2026-03-12,13:01:40,MWG,80.5,49000,3944500.0,49000,3944500.0,HOSE
2026-03-12,13:03:24,SCR,5.35,1,5.35,28,149.79999999999998,HOSE
2026-03-12,13:07:08,TCB,28.95,72000,2084400.0,5040541,166717742.3,HOSE
2026-03-12,13:08:09,VDS,16.0,5000000,80000000.0,5000000,80000000.0,HOSE
2026-03-12,13:08:21,E1VFVN30,32.872,240000,7889280.0,240000,7889280.0,HOSE
2026-03-12,13:09:11,SCR,5.35,1,5.35,29,155.14999999999998,HOSE
2026-03-12,13:10:13,NLG,25.85,2,51.7,36,930.6,HOSE
2026-03-12,13:10:41,HPG,27.1,2,54.2,35,948.5,HOSE
2026-03-12,13:11:07,DCM,48.7,1,48.7,35,1704.5000000000002,HOSE
2026-03-12,13:11:32,VCI,35.7,2,71.4,35,1249.5,HOSE
2026-03-12,13:11:56,VCI,35.7,2,71.4,37,1320.9,HOSE
2026-03-12,13:12:21,HPG,27.1,1,27.1,36,975.6,HOSE
2026-03-12,13:12:45,HPG,27.1,1,27.1,37,1002.7,HOSE
2026-03-12,13:13:02,VSC,22.65,465000,10532250.0,505000,11402250.0,HOSE
2026-03-12,13:13:10,TCB,30.3,2,60.6,5040543,166717802.9,HOSE
2026-03-12,13:13:33,DCM,48.7,1,48.7,36,1753.2,HOSE
2026-03-12,13:14:00,NLG,25.85,2,51.7,38,982.3000000000001,HOSE
2026-03-12,13:15:56,LSS,7.96,1,7.96,6,47.76,HOSE
