date,symbol,buy_volume,sell_volume,buy_value,sell_value,net_volume,net_value
2026-03-12,HPG,2927700,4087233,79718400000,111587065000,-1159533,-31868665000
2026-03-12,HSG,600,0,8620000,0,600,8620000
2026-03-12,HT1,0,275000,0,4529500000,-275000,-4529500000
2026-03-12,IDC,100600,8000,4265920000,346400000,92600,3919520000
2026-03-12,KBC,900,0,27525000,0,900,27525000
2026-03-12,KDH,3003700,7000,77825345000,180700000,2996700,77644645000
2026-03-12,LPB,538300,336300,22215135000,13837715000,202000,8377420000
2026-03-12,LSS,0,5,0,39000,-5,-39000
2026-03-12,MBB,2286600,1728405,61014905000,46270013000,558195,14744892000
2026-03-12,MIC,0,58,0,691200,-58,-691200
2026-03-12,MSB,12200,198600,136150000,2248860000,-186400,-2112710000
2026-03-12,MSN,1747892,953200,124460746000,68674440000,794692,55786306000
2026-03-12,MSR,2500,0,122250000,0,2500,122250000
2026-03-12,MWG,2062100,3119000,174641650000,264894290000,-1056900,-90252640000
2026-03-12,NAB,200,33700,2600000,443155000,-33500,-440555000
2026-03-12,NLG,64600,41931,1701210000,1126375000,22669,574835000
2026-03-12,NT2,0,0,0,0,0,0
2026-03-12,NVL,3000,0,32850000,0,3000,32850000
2026-03-12,OCB,333900,5500,3634040000,58835000,328400,3575205000
2026-03-12,PC1,16200,49100,432540000,1310970000,-32900,-878430000
2026-03-12,PDR,900,0,13230000,0,900,13230000
2026-03-12,PLX,176400,34800,9259590000,1851940000,141600,7407650000
2026-03-12,PNJ,19800,12600,2308740000,1445940000,7200,862800000
2026-03-12,POW,200300,0,2684000000,0,200300,2684000000
2026-03-12,PPC,0,15,0,137000,-15,-137000
2026-03-12,PVD,0,35600,0,1466720000,-35600,-1466720000
2026-03-12,PVS,900,81281,38760000,3528283000,-80381,-3489523000
2026-03-12,PVT,0,82000,0,2091750000,-82000,-2091750000
2026-03-12,REE,2600,7700,156780000,461990000,-5100,-305210000
2026-03-12,SAB,55300,27800,2470045000,1243165000,27500,1226880000
2026-03-12,SCR,0,30,0,156000,-30,-156000
2026-03-12,SHB,1575900,1631400,22911380000,23904265000,-55500,-992885000
2026-03-12,SHS,2700,0,45720000,0,2700,45720000
2026-03-12,SSB,250000,72500,4125820000,1196610000,177500,2929210000
2026-03-12,SSI,3151500,1233502,94075265000,37503430000,1917998,56571835000
2026-03-12,STB,1565200,1194800,103127650000,78780060000,370400,24347590000
2026-03-12,TCB,2804400,1585633,85260550000,48808804000,1218767,36451746000
2026-03-12,TCH,4997200,100000,71904690000,1465000000,4897200,70439690000
2026-03-12,TCR,0,4,0,10000,-4,-10000
2026-03-12,TLG,0,1070,0,56917000,-1070,-56917000
2026-03-12,TPB,1059300,1284500,17340595000,21125095000,-225200,-3784500000
2026-03-12,VCB,526900,238500,31874070000,14432140000,288400,17441930000
2026-03-12,VCG,0,0,0,0,0,0
2026-03-12,VCI,111700,30034,4020770000,1083237000,81666,2937533000
2026-03-12,VGC,119000,0,5354290000,0,119000,5354290000
2026-03-12,VHC,0,55000,0,3255240000,-55000,-3255240000
2026-03-12,VHM,596900,430300,56499350000,40603660000,166600,15895690000
2026-03-12,VIB,5900500,465100,98760820000,7719415000,5435400,91041405000
2026-03-12,VIC,354800,190400,52247360000,28024190000,164400,24223170000
2026-03-12,VIX,2164300,640000,35480455000,10926000000,1524300,24554455000
2026-03-12,VJC,120300,58000,18867340000,9124730000,62300,9742610000
2026-03-12,VND,463500,150000,7797910000,2572500000,313500,5225410000
2026-03-12,VNM,1318300,1309600,82903030000,82242160000,8700,660870000
2026-03-12,VNP,15200,6000,287540000,115200000,9200,172340000
2026-03-12,VPB,2139400,896800,55651870000,23433290000,1242600,32218580000
2026-03-12,VPL,15000,10400,1127290000,807640000,4600,319650000
2026-03-12,VRE,1189300,321200,30079010000,8125255000,868100,21953755000
2026-03-12,VSC,170000,64700,3969500000,1510745000,105300,2458755000
2026-03-12,VTO,0,0,0,0,0,0
2026-03-12,VTP,20000,0,1832000000,0,20000,1832000000
